TransactionID,Date,BranchID,ProductID,Quantity,Revenue,CustomerType
T00001,2015-12-21,B001,P001,3,56.97,Non-Member
T00002,2015-10-29,B001,P024,1,13.99,
T00003,2015-12-15,B002,P002,1,24.99,Member
T00004,2015-10-28,B001,P017,5,99.94999999999999,Member
T00005,2015-12-11,B001,P023,5,74.95,Online
T00006,2015-10-29,B002,P019,3,44.97,Member
T00007,2015-10-21,B002,P011,3,71.97,Non-Member
T00008,2015-10-28,B002,P004,1,21.99,Online
T00009,2015-10-13,B002,P028,3,,Online
T00010,2015-10-06,B002,P018,1,89.99,Online
T00011,2015-10-11,B002,P027,5,64.95,Online
T00012,2015-12-13,B001,P023,1,14.99,Member
T00013,2015-12-24,B001,P025,3,239.96999999999997,Member
T00014,2015-10-30,B001,P013,3,56.97,Online
T00015,2015-12-21,B002,P006,3,50.97,Online
T00016,2015-10-27,B002,P023,1,14.99,Non-Member
T00017,2015-12-08,B001,P006,4,67.96,Online
T00018,2015-11-04,B001,P022,3,35.97,Member
T00019,2015-10-30,B001,P026,3,47.97,Online
T00020,2015-11-04,B001,P007,5,114.94999999999999,
T00021,2015-10-28,B002,P013,4,,Non-Member
T00022,2015-11-03,B001,P008,5,89.94999999999999,Online
T00023,2015-12-14,B002,P029,5,94.94999999999999,Online
T00024,2015-11-16,B001,P005,5,134.95,Online
T00025,2015-10-12,B001,P028,1,8.99,Non-Member
T00026,2015-12-20,B001,P026,4,63.96,Member
T00027,2015-11-19,B002,P020,4,51.96,Online
T00028,2015-12-10,B001,P022,1,11.99,Online
T00029,2015-12-22,B002,P004,3,65.97,
T00030,2015-10-21,B002,P001,3,56.97,Non-Member
T00031,2015-12-04,B001,P028,3,,
T00032,2015-10-20,B002,P025,2,159.98,Member
T00033,2015-12-16,B002,P016,1,20.99,Member
T00034,2015-11-16,B002,P008,1,17.99,
T00035,2015-12-12,B001,P003,4,79.96,Member
T00036,2015-12-08,B001,P005,4,107.96,
